ID,Group,Feature_1,Feature_2,Feature_3
ID001,C,2564.108169660804,387.2108697009374,-2177.48295468853
ID002,B,2399.3209554263567,372.0313000109399,4810.136742431851
ID003,C,2528.5112524753577,400.41657716413147,-2129.528213250026
ID004,C,2370.92091375578,412.8247105475956,-1964.7481230511762
ID005,A,2582.044935268167,399.5254128306402,5753.410763079654
ID006,C,2455.284626750963,383.1020708056914,-2062.689898665662
ID007,C,2338.82560724332,370.4460779222034,-1958.9325275192602
ID008,B,2414.4413894242193,402.1332550696004,4843.672406726598
ID009,C,2472.841620710029,375.3959100102046,-2099.456789067887
ID010,B,2576.722785018671,412.2688932551181,5160.736844778121
ID011,C,2616.378164246038,409.8373321508587,-2216.941211110128
ID012,B,2447.6331709684277,394.27078124156276,4906.261484928012
ID013,A,2469.010442211798,403.8088168322694,5402.073716810709
ID014,B,2583.3737809636127,361.38092561282275,5178.877385617333
ID015,C,2421.287834098063,422.30912387273986,-2015.2724949714964
ID016,B,2462.3940281915,422.2121127263391,4907.041765357866
ID017,A,2445.9084342375277,420.29600643211523,5235.904660502723
ID018,C,2582.583929291329,408.81409192042054,-2176.7828846026646
ID019,A,2428.7179460912444,413.55148740423243,5234.552880464681
ID020,B,2588.8325275070792,390.01819726579726,5170.6904945588185
ID021,C,2611.4211489006543,414.59194017764025,-2186.6123719601487
ID022,B,2502.4722632764265,401.5453157913382,5002.88363137197
ID023,A,2592.056560501444,414.7946223246059,5723.875097194227
ID024,A,2467.4515737257457,396.9469056741861,5418.773398824969
ID025,A,2642.1816881476952,413.0801795095251,5892.2042709787065
ID026,A,2547.7779622033386,398.74863512075547,5652.732705108066
ID027,B,2414.435878700499,400.4990212500089,4824.18249709419
ID028,C,2461.4607791660233,394.94095727466026,-2059.866590658048
ID029,A,2374.169736837614,385.56694407740906,5186.979192108034
ID030,C,2557.6491831692297,389.33333874092125,-2167.5257570088233
ID031,A,2479.6628776260595,409.62143781846487,5399.622637792743
ID032,A,2636.695727952133,393.8840052461569,5934.96046247575
ID033,B,2587.814834239108,411.0557658121028,5161.671726051986
ID034,A,2590.984742458264,387.0120659054791,5851.694731043819
ID035,B,2555.0893823063734,395.0571447947058,5106.9335816623825
ID036,A,2521.00143928095,397.89285817949843,5557.99634388471
ID037,A,2550.658719612318,401.03666215068176,5649.680661888829
ID038,A,2574.714323239967,415.21886296472184,5627.622148395795
ID039,C,2669.817762726211,400.8228868807983,-2269.9466723994847
ID040,B,2608.498813973897,401.744106984929,5215.933550248496
ID041,B,2595.241091037655,409.4908055181024,5187.467113457322
ID042,C,2630.515827045012,383.3963373811921,-2239.308448391895
ID043,C,2221.6424027985,408.4922076976698,-1797.419097095557
ID044,C,2422.0873035476448,405.5347388118598,-2024.3468291806491
ID045,B,2511.5876789715485,410.8824466002521,5027.278661371384
ID046,A,2403.094158462984,416.69544880558266,5133.247011629303
ID047,A,2393.1381278442145,388.61302952768494,5251.277095116449
ID048,C,2493.843719732691,384.00314875971173,-2126.2076385498544
ID049,B,2624.0600269746606,359.5120040902433,5247.672213815993
ID050,A,2429.671316386655,389.13905868807734,5346.266765702881
ID051,C,2576.7959146557773,415.51109519672275,-2152.266094485444
ID052,C,2694.0959973087256,380.2123429270565,-2321.995726345236
ID053,C,2380.866849291661,409.28525570205466,-1956.243004540796
ID054,C,2535.40186244624,392.3910870456186,-2140.2534047379822
ID055,B,2550.6841270129435,401.5111615077785,5108.314280080398
ID056,C,2433.4937612787908,401.6092613115886,-2056.9625308139953
ID057,A,2465.6922290021885,401.39676907290186,5411.909545157168
ID058,B,2640.5310694992813,398.0820118997021,5289.860629825944
ID059,A,2465.284846357988,402.63497720794294,5383.523017823045
ID060,C,2449.2217242362376,423.65652558189146,-2024.9807978551012
